target,method_a,method_b,spearman,pearson,jaccard_top10,jaccard_top20,jaccard_top50,jaccard_top100,jaccard_top200
z1,lgbm_gain,lgbm_shap_meanabs,0.9425538295379857,0.8034187432448435,0.6666666666666666,0.42857142857142855,0.4925373134328358,0.5267175572519084,0.5094339622641509
z1,lgbm_gain,lgbm_permutation,0.8544682753445899,0.9427641323507945,0.5384615384615384,0.48148148148148145,0.5151515151515151,0.43884892086330934,0.4336917562724014
z1,lgbm_gain,rf_impurity,0.2964820190656973,0.813983211715319,0.3333333333333333,0.42857142857142855,0.4084507042253521,0.3698630136986301,0.2903225806451613
z1,lgbm_shap_meanabs,lgbm_permutation,0.8648120361811751,0.7414880290795145,0.5384615384615384,0.42857142857142855,0.4492753623188406,0.4084507042253521,0.44404332129963897
z1,lgbm_shap_meanabs,rf_impurity,0.2855060523827258,0.6979857574799719,0.42857142857142855,0.2903225806451613,0.3157894736842105,0.30718954248366015,0.26582278481012656
z1,lgbm_permutation,rf_impurity,0.24559800225349085,0.7537214826850793,0.25,0.3793103448275862,0.3333333333333333,0.2578616352201258,0.22324159021406728
