target,method_a,method_b,spearman,pearson,jaccard_top10,jaccard_top20,jaccard_top50,jaccard_top100,jaccard_top200
z0,lgbm_gain,lgbm_shap_meanabs,0.9428006075245785,0.9222533759279712,0.8181818181818182,0.6,0.4925373134328358,0.4925373134328358,0.5384615384615384
z0,lgbm_gain,lgbm_permutation,0.8574939078940639,0.9246979372744385,0.6666666666666666,0.6666666666666666,0.4925373134328358,0.43884892086330934,0.44404332129963897
z0,lgbm_gain,rf_impurity,0.27146095458188546,0.9232801303174646,0.42857142857142855,0.42857142857142855,0.3157894736842105,0.3333333333333333,0.2987012987012987
z0,lgbm_shap_meanabs,lgbm_permutation,0.8703092789375643,0.9431301883087913,0.8181818181818182,0.7391304347826086,0.5384615384615384,0.5037593984962406,0.5267175572519084
z0,lgbm_shap_meanabs,rf_impurity,0.2725679998172,0.8173325585880428,0.42857142857142855,0.3333333333333333,0.26582278481012656,0.2578616352201258,0.2422360248447205
z0,lgbm_permutation,rf_impurity,0.23548902201144184,0.9038294615659143,0.3333333333333333,0.3793103448275862,0.2987012987012987,0.25,0.22324159021406728
