target,method_a,method_b,spearman_residue,jaccard_top5_resi,jaccard_top10_resi,jaccard_top15_resi,jaccard_top20_resi,jaccard_top30_resi
z0,lgbm_gain,lgbm_shap_meanabs,0.944845930167031,1.0,0.6666666666666666,0.875,0.7391304347826086,0.8181818181818182
z0,lgbm_gain,lgbm_permutation,0.9307891711561436,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7391304347826086,0.7142857142857143
z0,lgbm_gain,rf_impurity,0.896679665487005,0.42857142857142855,0.5384615384615384,0.6666666666666666,0.7391304347826086,0.6216216216216216
z0,lgbm_shap_meanabs,lgbm_permutation,0.924594820007664,0.6666666666666666,0.6666666666666666,0.7647058823529411,0.7391304347826086,0.875
z0,lgbm_shap_meanabs,rf_impurity,0.8597209386200211,0.42857142857142855,0.5384615384615384,0.6666666666666666,0.6666666666666666,0.6666666666666666
z0,lgbm_permutation,rf_impurity,0.8524987038748507,0.42857142857142855,0.42857142857142855,0.5789473684210527,0.6666666666666666,0.6216216216216216
z1,lgbm_gain,lgbm_shap_meanabs,0.9093839460811939,0.42857142857142855,0.5384615384615384,0.7647058823529411,0.8181818181818182,0.6216216216216216
z1,lgbm_gain,lgbm_permutation,0.9249374478732276,0.6666666666666666,0.6666666666666666,0.875,0.8181818181818182,0.7142857142857143
z1,lgbm_gain,rf_impurity,0.9234316885693032,0.42857142857142855,0.5384615384615384,0.6666666666666666,0.7391304347826086,0.6216216216216216
z1,lgbm_shap_meanabs,lgbm_permutation,0.9039920654599554,0.6666666666666666,0.42857142857142855,0.7647058823529411,0.6666666666666666,0.6216216216216216
z1,lgbm_shap_meanabs,rf_impurity,0.8736694993575728,0.25,0.42857142857142855,0.7647058823529411,0.6666666666666666,0.6216216216216216
z1,lgbm_permutation,rf_impurity,0.8679981065302166,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6,0.5789473684210527
