design,leaky_mean,leaky_sd,nested_mean,nested_sd,delta,pairs_min,pairs_max,leaky_folds,nested_folds
random,0.8967120051586536,0.01164507949307587,0.8954720079656987,0.013226457553457315,-0.001239997192954867,7446,7462,0.883 0.889 0.890 0.908 0.913,0.879 0.884 0.892 0.909 0.913
PDB entry,0.8567915236522099,0.02426838135006252,0.860956702872333,0.020866696913195298,0.00416517922012305,7398,7469,0.874 0.810 0.871 0.873 0.856,0.869 0.824 0.877 0.881 0.853
gene,0.4230252209267906,0.15409446414463482,0.40776145851802637,0.16464923087388772,-0.015263762408764259,7419,7507,0.445 0.566 0.602 0.310 0.193,0.463 0.543 0.602 0.249 0.181
